Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
eNOS Signaling	2.49E00	3.08E-01	-1.718	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,AQP1,AQP11,AQP3,AQP4,AQP8,CAMK4,CASP3,CASP8,CCNA1,CHRM1,CHRM3,CHRNA2,CHRNB1,CHRNB2,DNM2,FLT4,HSP90AB1,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,LPAR3,NOS3,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKAA2,PRKACB,PRKAR1B,PRKD3	
Non-Small Cell Lung Cancer Signaling	2.45E00	3.56E-01	0.218	AKT1,AKT2,AKT3,CCND1,EGF,FHIT,MAP2K1,MRAS,PA2G4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RASSF1,RASSF5,SOS2,SUV39H1	
Mitotic Roles of Polo-Like Kinase	2.43E00	3.64E-01	1.155	CCNB2,CDC20,CDC25B,CDK1,FZR1,HSP90AB1,PKMYT1,PLK1,PLK3,PLK5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PTTG1,SLK,SMC3,TGFB1,WEE1	
Synaptic Long Term Potentiation	2.43E00	3.18E-01	-1.947	ADCY1,ADCY8,ATF2,ATF4,CAMK2B,CAMK4,CREB3,CREB3L3,CREB3L4,GNA14,GNA15,GRIN2D,GRINA,GRM2,MAP2K1,MRAS,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP3CA,PRKACB,PRKAR1B,PRKD3,RAF1,RALB,RAP2A,RAP2B,RAPGEF3,RASD1,RASD2,RPS6KA1	
4-1BB Signaling in T Lymphocytes	2.43E00	4.38E-01	2.530	ATF2,IKBKE,IKBKG,JUN,MAP2K1,MAP2K4,MAPK11,MAPK13,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TRAF2	
Ethanol Degradation II	2.43E00	4.38E-01	-3.207	ACSL1,ACSS1,ACSS3,ADH1C,ADH4,Adh6a,ADH7,ADHFE1,ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,DHRS4,DHRS9	
Glycolysis I	2.38E00	4.62E-01	0.000	ALDOA,ALDOB,ENO1,FBP1,FBP2,GAPDHS,PFKP,PGAM1,PGAM2,PGK1,PKLR,TPI1	
Gluconeogenesis I	2.38E00	4.62E-01	-0.577	ALDOA,ALDOB,ENO1,FBP1,FBP2,GAPDHS,ME1,ME2,ME3,PGAM1,PGAM2,PGK1	
Virus Entry via Endocytic Pathways	2.38E00	3.27E-01	NaN	ACTB,ACTG1,AP1M2,AP1S2,AP2M1,B2M,CLTB,CXADR,DNM2,FLNB,HLA-A,HLA-E,ITGA2,ITGA4,ITGA5,ITGB7,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,TFRC,ZBTB12	
Atherosclerosis Signaling	2.38E00	3.17E-01	NaN	ABHD3,ALB,ALOX12,ALOX12B,ALOX15,ALOX5,APOA2,APOA4,APOB,APOC2,APOD,CCR2,CD36,CD40,CLU,COL18A1,CSF1,F3,ICAM1,IL18,ITGA4,LYZ,NFKB2,PDGFA,PDGFC,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PNPLA3,RBP4,RELA,TGFB1,TNF,TNFRSF12A,TNFRSF14,TNFSF12	
Apelin Cardiac Fibroblast Signaling Pathway	2.37E00	4.78E-01	0.905	ACE2,AKT1,AKT2,AKT3,ANGPT2,APLN,NOS3,PRKAA2,SERPINE1,SPHK1,TGFB1	
Sucrose Degradation V (Mammalian)	2.36E00	6.67E-01	-0.816	ALDOA,ALDOB,GALM,KHK,SI,TPI1	
TGF-β Signaling	2.36E00	3.33E-01	0.200	ACVR1C,ACVR2A,BCL2,BMPR2,FOS,HDAC1,IRF7,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP4K1,MAPK11,MAPK13,MRAS,PIAS4,PMEPA1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SERPINE1,SMAD5,SMAD6,SMURF1,SOS2,TGFB1,TGFBR1,ZFYVE9	
HIPPO signaling	2.35E00	3.41E-01	-1.091	AMOT,CSNK1E,FAT4,ITCH,LATS1,NF2,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RASSF1,SFN,SMAD5,TEAD2,TEAD4,TJP2,YWHAE,YWHAG,YWHAH	
Cholecystokinin/Gastrin-mediated Signaling	2.33E00	3.19E-01	0.870	ATF2,CREM,EPHA4,FOS,IL18,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MEF2A,MRAS,PLCB1,PLCB2,PLCB4,PRKD3,PTK2B,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2,SOS2,SRF,TNF	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.33E00	3.37E-01	NaN	AKT1,AKT2,AKT3,AP1M2,AP1S2,AP2M1,B2M,CLTB,HLA-A,HLA-E,LCK,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PTPN11,PTPN22,ZBTB12	
IL-7 Signaling Pathway	2.33E00	3.46E-01	0.816	AKT1,AKT2,AKT3,BAK1,BCL2,CCND1,CCND3,CDKN1B,FOXO6,IL2RG,JAK3,JUN,MAPK11,MAPK13,NFATC1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,SLC2A1,SOCS1,SOS2,STAT1,STAT5B	
Myc Mediated Apoptosis Signaling	2.27E00	3.8E-01	0.688	ADRB2,BBC3,BCL2,BID,CASP3,CASP8,FAS,IKBKE,IKBKG,MAX,NFKB2,PRKACB,PRKAR1B,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2	
FcγRIIB Signaling in B Lymphocytes	2.27E00	3.47E-01	-0.243	AKT1,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CD79B,DOK1,INPP5D,MAP2K4,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,RALB,RAP2A,RAP2B,RASD1,RASD2	
Acetone Degradation I (to Methylglyoxal)	2.25E00	4.33E-01	-3.051	CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4A11,CYP4B1,CYP4F8,CYP51A1	
Endocannabinoid Neuronal Synapse Pathway	2.25E00	3.12E-01	-1.480	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CNR1,FAAH,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNG5,GRIN2D,GRINA,KCNJ3,MAPK11,MAPK13,MAPK15,MGLL,NAPEPLD,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPP3CA,PRKACB,PRKAR1B	
Mitochondrial Dysfunction	2.25E00	2.98E-01	NaN	ACO2,Aph1c,ATP5F1A,ATP5F1B,BACE1,BACE2,BCL2,CASP3,CASP8,CAT,COX10,COX11,COX17,COX5A,COX6A2,CPT1B,CYC1,DHODH,GSR,HTRA2,MAOA,MAOB,MAP2K4,NDUFA10,NDUFA12,NDUFA4L2,NDUFA8,NDUFA9,NDUFB6,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV1,OGDH,PINK1,PRDX3,PSEN1,SDHB,SNCA,SOD2,SURF1,UQCR10,UQCRC1,UQCRC2,UQCRFS1,UQCRQ,VDAC1,VDAC2,XDH	
Trehalose Degradation II (Trehalase)	2.2E00	7.14E-01	0.000	GCK,HK1,HK2,HKDC1,TREH	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2.16E00	3.05E-01	1.372	ALPL,CDC25B,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,ITPK1,MDP1,MINPP1,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PIKFYVE,PPFIA1,PPFIA3,PPIP5K1,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2.16E00	3.05E-01	1.372	ALPL,CDC25B,CILP,DOT1L,DUSP10,DUSP12,DUSP16,DUSP5,DUSP8,EPHX2,ITPK1,MDP1,MINPP1,MTMR4,MTMR7,NUDT12,NUDT5,NUDT9,PALD1,PIKFYVE,PPFIA1,PPFIA3,PPIP5K1,PPM1H,PPP1R14B,PPP1R8,PPP2R3A,PPP2R5D,PPP3CA,PPP4C,PPP5C,PTEN,PTPN11,PTPN13,PTPN22,PTPRC,PTPRN,PTPRO,RASA1,SOCS3,TNS3,TPTE2,WBP11	
IL-10 Signaling	2.16E00	3.48E-01	NaN	ARG2,BLVRA,CD14,FOS,HMOX1,IKBKE,IKBKG,IL18,IL1RAP,IL4R,JUN,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,SOCS3,STAT3,TNF	
Inhibition of Angiogenesis by TSP1	2.15E00	4.12E-01	2.309	AKT1,AKT2,AKT3,CASP3,CD36,CD47,JUN,MAP2K4,MAPK11,MAPK13,NOS3,SDC1,TGFB1,TGFBR1	
Clathrin-mediated Endocytosis Signaling	2.14E00	2.9E-01	NaN	ACTB,ACTG1,ALB,AP1M2,AP1S2,AP2M1,APOA2,APOA4,APOB,APOC2,APOD,ARF6,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,CLTB,CLU,CSNK2A2,DNM2,DNM3,EGF,FGF1,FGF14,HIP1R,ITGA5,ITGB7,LDLRAP1,LYZ,MYO6,NUMB,PDGFA,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,RAB5C,RAB7A,RAC1,RBP4,SH3BP4,SH3GL2,SH3KBP1,TFRC,Ubb,UBC,UBD,USP9X	
T Helper Cell Differentiation	2.13E00	3.42E-01	NaN	CD40,GATA3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICOSLG/LOC102723996,IFNGR2,IL12RB1,IL12RB2,IL18,IL18R1,IL2RG,IL4R,STAT1,STAT3,STAT6,TGFB1,TGFBR1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.13E00	3.42E-01	-0.200	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADRB2,CCKAR,GIPR,GNA14,GNA15,GNAI1,GNAI2,NOTUM,NPY2R,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKACB,PRKAR1B,VIPR1	
Pyrimidine Ribonucleotides Interconversion	2.12E00	3.9E-01	1.000	AK1,CMPK2,CTPS1,ENTPD2,ENTPD3,ENTPD8,NME2,NME7,NUDT18,NUDT5,NUDT9,PCK1,RAD54L,RECQL4,SLC25A42,ZRANB3	
Breast Cancer Regulation by Stathmin1	2.12E00	2.55E-01	NaN	ADORA2A,ADORA2B,ADRA2A,ADRB2,ANKHD1/ANKHD1-EIF4EBP3,ARHGEF10,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF3,ARHGEF5,ATF2,ATF4,AURKA,AURKB,CAMK1,CAMK1D,CAMK2B,CAMK4,CCKAR,CCND1,CCND3,CCR2,CCR7,CCRL2,CDK1,CDKN1B,CELSR1,CELSR3,CHRM1,CHRM3,CNR1,CREB3,CREB3L3,CREB3L4,E2F2,E2F4,EGF,F2RL1,FOXM1,FZD1,FZD2,FZD3,FZD6,GCGR,GHRHR,GIPR,GNB1,GNB1L,GNB2,GNG5,GPR107,GPR137C,GPR146,GPR151,GPR153,GPR155,GPR160,GPR179,GPR182,GPR21,GPR22,GPR3,GPR35,GPR6,GPR61,GPR68,GPR75,GPR85,GPRC5A,GPRC5B,GRM2,HCRTR1,HRH3,HTR4,HTR6,JUN,LGR4,LGR5,LPAR3,MAP2K1,MAS1,MRAS,MTNR1A,MTOR,NFKB2,NPY2R,OPRD1,P2RY1,PAK1,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PPP4C,PRKACB,PRKAR1B,PRKD3,PTAFR,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RPS6KA3,SIVA1,SOS2,SSTR2,SSTR3,STAT3,STMN1,TGFB1,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VIPR1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.1E00	2.99E-01	1.890	C3,CCL5,CSF2,DDX58,IFIH1,IL15,IL18,IRF7,LIF,LTA,LTB,MAP2K4,MYD88,NFKB2,NLRC4,NOD1,NOD2,OAS1,Oas1b,Oas1d (includes others),Oas1f,Oas1h,OAS2,OAS3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RELA,RIPK2,TGFB1,TICAM1,TLR1,TLR2,TLR5,TLR9,TNF,TNFSF10,TNFSF12,TNFSF13,TNFSF15	
α-Adrenergic Signaling	2.08E00	3.23E-01	-0.775	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADRA2A,CAMK4,EPM2A,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,GYS1,MAP2K1,MRAS,PHKB,PLCG2,PRKACB,PRKAR1B,PRKD3,PYGL,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC8A3	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	2.08E00	3.11E-01	0.447	AKT1,AKT2,AKT3,APC,BMP1,BMPR2,FZD1,FZD2,FZD3,FZD6,GATA6,JAK3,LIF,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SMAD5,SOS2,STAT3,TCF7L1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Tetrapyrrole Biosynthesis II	2.06E00	8E-01	0.000	ALAS1,ALAS2,HMBS,UROS	
Cellular Effects of Sildenafil (Viagra)	2.06E00	3.05E-01	NaN	ACTB,ACTG1,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,CACNA1A,CACNA1D,CACNG4,CAMK4,GUCY2C,MYH14,MYH7B,MYL10,MYL9,MYLK,MYLPF,NOS3,NOTUM,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE5A,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,Ppp1r12b,PRKACB,PRKAR1B,PRKG2,SLC4A11,SLC4A5	
UVB-Induced MAPK Signaling	2.06E00	3.65E-01	0.000	AKT1,EIF4EBP1,FOS,JUN,MAP2K1,MAP2K4,MAPK11,MAPK13,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKD3,RPS6KA3,RPS6KA5	
Human Embryonic Stem Cell Pluripotency	2.06E00	3.04E-01	NaN	AKT1,AKT2,AKT3,APC,BMP1,BMPR2,FGFR2,FGFR3,FGFR4,FZD1,FZD2,FZD3,FZD6,HNF1A,KLK3,LEF1,LEFTY1,MRAS,NTRK1,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,SMAD5,SMAD6,SPHK1,TCF4,TCF7L1,TGFB1,TGFBR1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Phagosome Maturation	2.04E00	2.98E-01	NaN	ATP6V0A2,ATP6V0C,ATP6V1B2,ATP6V1G2,B2M,CALR,CTSB,CTSC,CTSF,CTSS,CTSZ,DYNC2H1,DYNLL1,EEA1,HLA-A,HLA-DRB5,HLA-E,M6PR,NAPB,NCF2,NOX1,NSF,PIK3C3,PIKFYVE,RAB5C,RAB7A,SNAP25,TAP1,TCIRG1,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBD1,TUBE1,TUBG1,VPS28,VPS37B,VPS39,VPS41,ZBTB12	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.03E00	4.4E-01	0.302	CDIPT,PI4K2A,PIKFYVE,PIP4K2A,PIP5K1A,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1	
Proline Degradation	2.01E00	1E00	NaN	ALDH4A1,LOC102724788/PRODH,PRODH2	
Hypusine Biosynthesis	2.01E00	1E00	NaN	DHPS,DOHH,EIF5A	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.01E00	3.67E-01	-1.291	ATM,AURKA,CCNB2,CDC25B,CDK1,CDKN1A,CKS1B,PKMYT1,PLK1,PRKDC,PTPMT1,RPS6KA1,SFN,TOP2B,WEE1,YWHAE,YWHAG,YWHAH	
MIF Regulation of Innate Immunity	2E00	3.81E-01	3.000	CD14,CD74,FOS,JUN,MAP2K4,MIF,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,RELA	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2E00	3.81E-01	0.535	ATF2,ATF4,CREB3,CREB3L3,CREB3L4,CSF2,CXCL10,IL17RC,MAP2K1,NFKB2,RAF1,RELA,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5	
Th2 Pathway	2E00	3.01E-01	1.414	ACVR1C,ACVR2A,BMPR2,CD40,CRLF2,GATA3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,ICOSLG/LOC102723996,IL12RB1,IL12RB2,IL17RB,IL2RB,IL2RG,IL4R,JAG1,JAG2,JAK3,JUN,MAF,NOTCH3,NOTCH4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PSEN1,SOCS3,STAT5B,STAT6,TGFB1,TGFBR1,VAV1	
Fatty Acid Activation	1.99E00	5.38E-01	-2.646	ACSL1,ACSL3,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6	
GADD45 Signaling	1.98E00	4.74E-01	NaN	ATM,CCND1,CCND3,CCNE1,CDK1,CDKN1A,GADD45B,GADD45G,MAP3K4	
DNA damage-induced 14-3-3σ Signaling	1.98E00	4.74E-01	NaN	AKT1,AKT2,AKT3,ATM,CCNB2,CCNE1,CDK1,RAD1,SFN	
PCP pathway	1.98E00	3.5E-01	-0.447	ATF2,CELSR1,FZD1,FZD2,FZD3,FZD6,JUN,JUNB,JUND,LGR4,MAP2K4,PFN1,PFN2,RAC1,RHOA,ROCK2,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
Amyloid Processing	1.91E00	3.6E-01	0.000	AKT1,AKT2,AKT3,BACE1,BACE2,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CSNK1E,CSNK2A2,MAPK11,MAPK13,PRKACB,PRKAR1B,PSEN1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.9E00	3.72E-01	1.000	AK1,CMPK2,CTPS1,ENTPD2,ENTPD3,ENTPD8,NME2,NME7,NUDT18,NUDT5,NUDT9,PCK1,RAD54L,RECQL4,SLC25A42,ZRANB3	
Serotonin Receptor Signaling	1.9E00	3.72E-01	NaN	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,DDC,GCH1,HTR4,HTR6,IL4I1,MAOA,MAOB,PTS,SLC18A2,SMOX	
Adipogenesis pathway	1.89E00	2.99E-01	NaN	AKT1,BMPR2,CEBPB,CEBPD,CLOCK,DDIT3,DLK1,EGR2,ERCC3,FGF1,FGFR2,FGFR3,FGFR4,FZD1,FZD2,FZD3,FZD6,GTF2H4,HDAC1,HDAC5,HDAC8,KDM1A,KLF5,LPIN1,NFATC4,NR1D2,PPARG,PPIP5K1,RBP1,RPS6KA1,RUNX1T1,SAP18,SIRT1,SMAD5,STAT5B,TGFB1,TNF,TNFRSF1A,TXNIP,XBP1	
Gαs Signaling	1.86E00	3.08E-01	-1.616	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADD3,ADORA2A,ADORA2B,ADRB2,ATF2,ATF4,CHRM1,CHRM3,CNR1,CREB3,CREB3L3,CREB3L4,GNB1,GNB1L,GNB2,GNG5,HCK,HTR4,HTR6,MAP2K1,MRAS,PRKACB,PRKAR1B,RAPGEF3,RAPGEF4,RGS2,VIPR1	
HER-2 Signaling in Breast Cancer	1.85E00	3.21E-01	NaN	AKT1,AKT2,AKT3,AREG,CCND1,CCNE1,CDKN1A,CDKN1B,EGF,ITGB7,MRAS,PARD6A,PARD6B,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKD3,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
Tryptophan Degradation III (Eukaryotic)	1.85E00	4.35E-01	-1.000	ACAA2,ACAT1,ACAT2,AFMID,CDYL,EHHADH,HADH,HSD17B4,IDO1,KMO	
SPINK1 General Cancer Pathway	1.85E00	3.33E-01	0.655	AKT1,AKT2,AKT3,JAK3,MAP2K1,MRAS,Mt1,Mt2,Mt4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,STAT3	
The Visual Cycle	1.82E00	4.5E-01	-1.667	DHRS3,DHRS9,LRAT,RBP1,RBP2,RBP7,RDH10,RDH13,RDH5	
Apelin Pancreas Signaling Pathway	1.79E00	3.64E-01	-2.000	APLN,DDIT3,MAP2K4,NFKB2,PDE3B,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKAA2,PRKACB,PRKAR1B,RELA	
Mitochondrial L-carnitine Shuttle Pathway	1.79E00	4.71E-01	-2.828	ACSL1,ACSL3,CPT1B,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6	
Cell Cycle Regulation by BTG Family Proteins	1.79E00	3.78E-01	1.000	CCND1,CCNE1,E2F2,E2F4,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRMT1	
DNA Double-Strand Break Repair by Homologous Recombination	1.78E00	5E-01	NaN	ATM,ATRX,BRCA2,GEN1,POLA1,RAD51,RAD52	
HIF1α Signaling	1.74E00	3.01E-01	NaN	AKT1,AKT2,AKT3,EDN1,JUN,MAPK11,MAPK13,MAPK15,MMP11,MMP15,MMP23B,MMP28,MMP7,MRAS,NOS2,NOS3,P4HTM,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RALB,RAP2A,RAP2B,RASD1,RASD2,SLC2A1,SLC2A2,VHL	
Regulation of eIF4 and p70S6K Signaling	1.74E00	2.87E-01	-0.730	AKT1,AKT2,AKT3,EIF2B4,EIF2B5,EIF3B,EIF3C,EIF3D,EIF3G,EIF4A3,EIF4EBP1,EIF4G1,ITGA2,ITGA4,ITGA5,MAP2K1,MAPK11,MAPK13,MRAS,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS2,RPS27L,SOS2	
MIF-mediated Glucocorticoid Regulation	1.73E00	3.82E-01	2.496	CD14,CD74,MIF,NFKB2,NFKBIA,NFKBIB,NFKBIE,NR3C1,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,RELA	
Apelin Adipocyte Signaling Pathway	1.73E00	3.17E-01	-0.600	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,APLN,CAT,GNAI1,GNAI2,GPX2,GSTK1,GSTM1,GSTM2,Gstt1,LIPE,MAPK11,MAPK13,MAPK15,MGST2,MGST3,NCF2,NOX1,PRKAA2,PRKACB,PRKAR1B	
White Adipose Tissue Browning Pathway	1.73E00	2.95E-01	-2.466	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ANGPT2,ATF2,ATF4,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,CEBPB,CREB3,CREB3L3,CREB3L4,FGFR2,FGFR3,FGFR4,KLB,LIPE,MAPK11,MAPK13,NRF1,PPARA,PPARG,PRKAA2,PRKACB,PRKAR1B,PRKG2,RUNX1T1,SIRT1,THRB,VGF	
IL-22 Signaling	1.7E00	4.17E-01	2.333	AKT1,AKT2,AKT3,MAP2K4,MAPK11,MAPK13,SOCS3,STAT1,STAT3,STAT5B	
Factors Promoting Cardiogenesis in Vertebrates	1.68E00	2.87E-01	-2.530	ACVR1C,ACVR2A,APC,ATF2,ATF4,BMP1,BMPR2,CAMK2B,CCND1,CREB3,CREB3L3,CREB3L4,FZD1,FZD2,FZD3,FZD6,HNF1A,LEF1,LRP1,LRP5,LRP6,MAP2K4,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PRKD3,RHOA,ROCK2,SMAD5,TCF4,TCF7L1,TGFB1,TGFBR1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
G Beta Gamma Signaling	1.68E00	2.95E-01	-0.354	ADCY1,AKT1,AKT2,AKT3,CACNA1A,CACNA1B,CACNA1D,CACNA2D1,CACNA2D2,CACNB4,CACNG4,DNM2,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,HBEGF,KCNJ3,MRAS,PAK1,PIK3CG,PLCG2,PRKACB,PRKAR1B,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
